COVID_19 DONATION REGISTER FOR 2020-21 FINANCIAL YEAR,,,,,
8520 x Dusk Musks,01-Jul,Goods and services,SERITI COAL COMPANY,Middelburg Pharmaceutical Dep,t                          -
89 x BijouIP54 LED Fittings,03-Jun,Goods and services,Eaton Electric South Africa (PTY LT,)E vander Hospital,166 079.00
Administration Fees,24-Apr,Goods and services,Delmas Development Centre(NPO,Bernice Samuel Hospital,25 000.00
Antibacterial Hand Soap,26-May,Goods and services,Bakgatla Ba Maloka Humanitarian,eMvmelaompmetelhnat kFeo uHnodspatitioaln,7 200.00
Aprons,19-Jun,Goods and services,AngloAmerican,Middelburg Pharmaceutical Dep,t                          -
Bar Fridge,01-Jun,Kitchen Appliances,Swift EMS Private Ambulance Servi,EeMs S Belfast,1 600.00
7 x Blackview Smartphone BV5900,10-1y-eJualr carry in,Gaorroadnst ya.nd services,South32 SA Coal Holdings Propriet,rNyk Laimngiatelad District,44 898.91
Scarves,11-May,Cash Asset,ABSA,Rob Ferreira Hospital,75 000.00
10 x Chairs,24-Apr,Office Furniture,Delmas Development Centre(NPO,Bernice Samuel Hospital,3 000.00
Chlorohexidine solution,19-Jun,Goods and services,AngloAmerican,Impungwe Hospital,-
Chlorohexidine srubs,19-Jun,Goods and services,AngloAmerican,Impungwe Hospital,-
7 x Dell 22 Monitor | SE2216H,01-Jul,Computer Desktop,South32 SA Coal Holdings Propriet,rNyk Laimngiatelad District,15 401.54
COVID_19 DONATION REGISTER FOR 2020-21 FINANCIAL YEAR,,,,,
ITEM DESCRIPTION,DATE,ASSET CATEGORY LEVEL,NAME OF THE DONOR,LOCATION,TOTAL AMOUN
Overshoes (Booties),15-May,Goods and services,Glencore Operations S.A (Pty) Ltd,Nkangala District,18 860.00
Paper Towels,19-Jun,Goods and services,AngloAmerican,Impungwe Hospital,-
Project Initiation costs,24-Apr,Goods and services,Delmas Development Centre(NPO,Bernice Samuel Hospital,700 000.00
Re-usable Surgeon Aprons,07-Jun,Goods and services,Big Wish Clothing (Pty) Ltd,Nkangala District,-
Salaries / Compensation for the N,2r4se-Aspr,Goods and services,Delmas Development Centre(NPO,Bernice Samuel Hospital,150 000.00
Sanitisers 25L,01-Jul,Goods and services,STEAM POWER S&E AFRICA,Nkangala District,497 250.00
"Sanitisers, Hand Soaps, Hand Tow",2ls4 -Apr,Goods and services,Delmas Development Centre(NPO,Bernice Samuel Hospital,10 000.00
7 x SIM Cards & Airtime Minutes –,061 m-Juolnths,Goods and services,South32 SA Coal Holdings Propriet,rNyk Laimngiatelad District,6 641.25
Sleeper Couch,01-Jun,Furniture,Swift EMS Private Ambulance Servi,EeMs S Belfast,2 600.00
Stationery,24-Apr,Goods and services,Delmas Development Centre(NPO,Bernice Samuel Hospital,10 000.00
Sterile gloves,12-Jun,Goods and services,Glencore Operations S.A (Pty) Ltd,Nkangala District,603 750.00
Surgeon aprons- light Green,19-Jun,Goods and services,AngloAmerican,Middelburg Pharmaceutical Dep,t                   250.00
Surgical gloves,19-Jun,Goods and services,AngloAmerican,Impungwe Hospital,-
Surgical Latex Gloves,26-May,Goods and services,Bakgatla Ba Maloka Humanitarian,eMvmelaompmetelhnat kFeo uHnodspatitioaln,360.00
Surgical Mask,19-Jun,Goods and services,AngloAmerican,Middelburg Pharmaceutical Dep,t             30 000.00
Surgical Mask,01-Jul,Goods and services,Transvaal gold mining estates limit,Ndkangala District,640 000.00
5 x Tables,24-Apr,Office Furniture,Delmas Development Centre(NPO,Bernice Samuel Hospital,2 000.00
Tent with 50 x Chairs,24-Apr,Goods and services,Delmas Development Centre(NPO,Bernice Samuel Hospital,-
10 x Thermometer Infrared non-c,n2t4a-cAtp Srcanners,Goods and services,Delmas Development Centre(NPO,Bernice Samuel Hospital,40 000.00
Transport,24-Apr,Goods and services,Delmas Development Centre(NPO,Bernice Samuel Hospital,20 000.00
3 x Visors,09-Jul,Goods and services,Imperial Health Sciences,Nkangala District,-
Thermometer Infrared non-conta,t1 s0c-aJunners,Goods and services,Glencore Operations S.A (Pty) Ltd,Nkangala District,265 362.50
Grand Total,,,,,12 399 140.09
